File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF299YDM	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR000BJD	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										RXRA-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF222RUB, ENCFF455MUC, ENCFF595JYV	19434	ENCODE Processing Pipeline	6a0b32f7f6924e910273f0f56f75a52d		https://www.encodeproject.org/files/ENCFF299YDM/@@download/ENCFF299YDM.bed.gz				released	s3://encode-public/2017/12/08/b83c5cb6-780d-4354-a219-00b81bf9c30e/ENCFF299YDM.bed.gz	mild to moderate bottlenecking, low read length	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF001VFU	bed narrowPeak	bed	narrowPeak	peaks	hg19	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE												1458801	Michael Snyder, Stanford	ce36bc4458f8ca1d03d8f68f8a8bc630		https://www.encodeproject.org/files/ENCFF001VFU/@@download/ENCFF001VFU.bed.gz				archived	s3://encode-public/2012/07/01/2ae5737b-ead3-4887-ac97-4c3d174ba687/ENCFF001VFU.narrowPeak.gz	low read depth, low read length	missing derived_from, biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF002CPW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE												478466	ENCODE Consortium Analysis Working Group	01f2af5399bd0b982e3d3b88e66168bc		https://www.encodeproject.org/files/ENCFF002CPW/@@download/ENCFF002CPW.bed.gz				archived	s3://encode-public/2014/06/06/0e410c1c-043f-4617-8159-4f959d0f2e89/ENCFF002CPW.narrowPeak.gz	low read depth, low read length	missing derived_from, biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF420LVZ	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1	1_1						ENCFF420MOQ, ENCFF780HMW	1202287	ENCODE Processing Pipeline	9a03c7827ce76a74f9da2efe2a493131		https://www.encodeproject.org/files/ENCFF420LVZ/@@download/ENCFF420LVZ.bed.gz				released	s3://encode-public/2017/07/19/273676a8-25b5-4b9d-bf54-ffa732405456/ENCFF420LVZ.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF046WGV	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				2	2_1						ENCFF420MOQ, ENCFF737NXE	4561903	ENCODE Processing Pipeline	ef41780b200cca0f8494cd0f0966947e		https://www.encodeproject.org/files/ENCFF046WGV/@@download/ENCFF046WGV.bed.gz				released	s3://encode-public/2017/07/19/93fed445-471a-49ad-a04f-5a41fe3f0049/ENCFF046WGV.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF704WHY	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF420MOQ, ENCFF737NXE, ENCFF780HMW	4810779	ENCODE Processing Pipeline	79773cf4285bde62b184b4ee6170d762		https://www.encodeproject.org/files/ENCFF704WHY/@@download/ENCFF704WHY.bed.gz				released	s3://encode-public/2017/07/19/3722e806-e344-4193-95eb-446263f56560/ENCFF704WHY.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF631JFD	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF046WGV, ENCFF420LVZ, ENCFF704WHY	194862	ENCODE Processing Pipeline	22cc3e3c719e82b0ed27ea44620cf424		https://www.encodeproject.org/files/ENCFF631JFD/@@download/ENCFF631JFD.bed.gz				released	s3://encode-public/2017/07/19/efa2a787-58b5-4ca6-ac7f-06c2e4c5ca94/ENCFF631JFD.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF141SAU	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF046WGV, ENCFF420LVZ, ENCFF704WHY	660604	ENCODE Processing Pipeline	8b9eb2c39e56a1197433faf476328b10		https://www.encodeproject.org/files/ENCFF141SAU/@@download/ENCFF141SAU.bed.gz				released	s3://encode-public/2017/07/19/8eb6dac7-08cd-49eb-ad94-4e4d01af4bdb/ENCFF141SAU.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF295LDK	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1	1_1						ENCFF157YWH, ENCFF515QUC	1286153	ENCODE Processing Pipeline	20a532c43c31db2ce278eeae1ff4049f		https://www.encodeproject.org/files/ENCFF295LDK/@@download/ENCFF295LDK.bed.gz				released	s3://encode-public/2017/07/19/b17270be-e9db-4e51-8d2b-04b09c4911ca/ENCFF295LDK.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF114TBN	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF070IOT, ENCFF295LDK, ENCFF419RSJ, ENCFF664ASN	208931	ENCODE Processing Pipeline	6484d6efcdf031e6d1c15fdadb6abbe1		https://www.encodeproject.org/files/ENCFF114TBN/@@download/ENCFF114TBN.bed.gz				released	s3://encode-public/2017/07/19/46e20152-fd3d-4a8b-add2-27fe68395eae/ENCFF114TBN.bed.gz	low read depth, low read length	mismatched status, biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF070IOT	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				2	2_1						ENCFF157YWH, ENCFF803OPC	4554896	ENCODE Processing Pipeline	02add92a304067216b398cfd5624c617		https://www.encodeproject.org/files/ENCFF070IOT/@@download/ENCFF070IOT.bed.gz				released	s3://encode-public/2017/07/19/3cdd9577-c62f-4d31-9825-68b5aed34d7e/ENCFF070IOT.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF664ASN	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF157YWH, ENCFF515QUC, ENCFF803OPC	4808025	ENCODE Processing Pipeline	6a0087191598867661ad5f2774a88ff8		https://www.encodeproject.org/files/ENCFF664ASN/@@download/ENCFF664ASN.bed.gz				released	s3://encode-public/2017/07/19/19757700-a64d-4893-be97-034915109043/ENCFF664ASN.bed.gz	low read depth, low read length	biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF193POQ	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000DZL	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										ZNF143-human	DNA						2011-10-29	ENCODE				1, 2	1_1, 2_1						ENCFF070IOT, ENCFF295LDK, ENCFF419RSJ, ENCFF664ASN	664411	ENCODE Processing Pipeline	0adc6bc4ed7a8d55d148205247cf28d9		https://www.encodeproject.org/files/ENCFF193POQ/@@download/ENCFF193POQ.bed.gz				released	s3://encode-public/2017/07/19/8efbff9c-a1af-4843-a92b-cddb87391cbf/ENCFF193POQ.bed.gz	low read depth, low read length	mismatched status, biological replicates with identical biosample	control insufficient read depth, insufficient replicate concordance	
ENCFF002CGS	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE												300102	ENCODE Consortium Analysis Working Group	1fa40f4212396dbecc511b3a3a361c40		https://www.encodeproject.org/files/ENCFF002CGS/@@download/ENCFF002CGS.bed.gz				archived	s3://encode-public/2014/06/06/a1303303-5b3c-4c4f-810d-4e9527a0b5df/ENCFF002CGS.narrowPeak.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	missing derived_from, biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF972GFU	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				2	2_1						ENCFF488UTP, ENCFF488YYE	2951079	ENCODE Processing Pipeline	f1561b6c77dfada4d32e5ff63bd8fd47		https://www.encodeproject.org/files/ENCFF972GFU/@@download/ENCFF972GFU.bed.gz				released	s3://encode-public/2016/12/16/40812e40-3201-4cd7-b1a6-596c6bbb4e23/ENCFF972GFU.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF496OFD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1	1_1						ENCFF227WBP, ENCFF488YYE	5198625	ENCODE Processing Pipeline	358c2de132d16c4751cdffefe7d1d3ff		https://www.encodeproject.org/files/ENCFF496OFD/@@download/ENCFF496OFD.bed.gz				released	s3://encode-public/2016/12/16/d1539cda-5f31-4f2c-9a41-3ced74dce427/ENCFF496OFD.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF829IXH	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF227WBP, ENCFF488UTP, ENCFF488YYE	5649000	ENCODE Processing Pipeline	0f8e51cd2a040ec8a7bb888c8035f7ec		https://www.encodeproject.org/files/ENCFF829IXH/@@download/ENCFF829IXH.bed.gz				released	s3://encode-public/2016/12/16/3973b9aa-102d-4be8-a7ee-c9374110cb7b/ENCFF829IXH.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF247MHT	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	GRCh38	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF419RSJ, ENCFF496OFD, ENCFF829IXH, ENCFF972GFU	354886	ENCODE Processing Pipeline	f9d7460a309b718a585ea184b29a774d		https://www.encodeproject.org/files/ENCFF247MHT/@@download/ENCFF247MHT.bed.gz				released	s3://encode-public/2016/12/16/46bc3dd6-7668-4617-acdf-8e244e5483ef/ENCFF247MHT.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	mismatched status, biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF372AVL	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF419RSJ, ENCFF496OFD, ENCFF829IXH, ENCFF972GFU	213774	ENCODE Processing Pipeline	b14947d6d493821cb64ab777a73478ae		https://www.encodeproject.org/files/ENCFF372AVL/@@download/ENCFF372AVL.bed.gz				released	s3://encode-public/2016/12/16/e60a8f54-886f-4271-830c-e73ce1cb2c8b/ENCFF372AVL.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	mismatched status, biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF306BBY	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				2	2_1						ENCFF288XGA, ENCFF963CVB	2985778	ENCODE Processing Pipeline	c46c23e747f2bc9a1837549baa2c03be		https://www.encodeproject.org/files/ENCFF306BBY/@@download/ENCFF306BBY.bed.gz				released	s3://encode-public/2017/12/08/58f089ef-f78a-4a84-b32d-2a4d141d8a23/ENCFF306BBY.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF255RCD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF032GHF, ENCFF288XGA, ENCFF963CVB	5665089	ENCODE Processing Pipeline	fbaab1c7d059db1d98d6a8790ac757e4		https://www.encodeproject.org/files/ENCFF255RCD/@@download/ENCFF255RCD.bed.gz				released	s3://encode-public/2017/12/08/04b0d173-7dc6-40ef-924a-5090bb7c51d5/ENCFF255RCD.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF017OSU	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	hg19	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1	1_1						ENCFF032GHF, ENCFF963CVB	5216391	ENCODE Processing Pipeline	5746764b38acb3c4e39b1660aad372a7		https://www.encodeproject.org/files/ENCFF017OSU/@@download/ENCFF017OSU.bed.gz				released	s3://encode-public/2017/12/08/1ab956b0-f59f-4ac6-a646-d3265e779605/ENCFF017OSU.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF082EYY	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	hg19	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF017OSU, ENCFF255RCD, ENCFF306BBY	204750	ENCODE Processing Pipeline	761995c3b71e1ad89946880b68ee5762		https://www.encodeproject.org/files/ENCFF082EYY/@@download/ENCFF082EYY.bed.gz				released	s3://encode-public/2017/12/08/bb90b08e-35fe-4684-9f01-abf39ed2c9de/ENCFF082EYY.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF625SHY	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BNQ	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BCL3-human	DNA						2011-07-18	ENCODE				1, 2	1_1, 2_1						ENCFF001TDO, ENCFF017OSU, ENCFF255RCD, ENCFF306BBY	357177	ENCODE Processing Pipeline	27296c76fc5b23b80e229644883fa76d		https://www.encodeproject.org/files/ENCFF625SHY/@@download/ENCFF625SHY.bed.gz				released	s3://encode-public/2017/12/08/fe21c022-11cb-4627-82a6-27f332b82830/ENCFF625SHY.bed.gz	mild to moderate bottlenecking, low read length, low read depth, borderline replicate concordance, moderate library complexity	biological replicates with identical biosample	insufficient read depth, poor library complexity, severe bottlenecking	
ENCFF002CHW	bed narrowPeak	bed	narrowPeak	optimal IDR thresholded peaks	hg19	ENCSR000BGE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SRF-human	DNA						2011-07-18	ENCODE												184095	ENCODE Consortium Analysis Working Group	51328a96dd2d0fa59860316ae77b9b4b		https://www.encodeproject.org/files/ENCFF002CHW/@@download/ENCFF002CHW.bed.gz				archived	s3://encode-public/2014/06/06/7d680690-0555-4629-aaf2-c8b419e8f330/ENCFF002CHW.narrowPeak.gz	low read depth, low read length	missing derived_from, biological replicates with identical biosample		
ENCFF325QYD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BGE	ChIP-seq ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										SRF-human	DNA						2011-07-18	ENCODE				1	1_1						ENCFF289ONG, ENCFF731ZNW, ENCFF862QZT	4958331	ENCODE Processing Pipeline	8c709c81bb435b3d2c1544b35aef59c2		https://www.encodeproject.org/files/ENCFF325QYD/@@download/ENCFF325QYD.bed.gz				released	s3://encode-public/2016/12/16/166eea6f-a41d-4582-bad6-b44fa584a057/ENCFF325QYD.bed.gz	low read depth, low read length	biological replicates with identical biosample		
